vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(X),avg(Y),avg(Z),avg(u),avg(vtkOriginalPointIds),max(X),max(Y),max(Z),max(u),max(vtkOriginalPointIds),med(X),med(Y),med(Z),med(u),med(vtkOriginalPointIds),min(X),min(Y),min(Z),min(u),min(vtkOriginalPointIds),q1(X),q1(Y),q1(Z),q1(u),q1(vtkOriginalPointIds),q3(X),q3(Y),q3(Z),q3(u),q3(vtkOriginalPointIds),std(X),std(Y),std(Z),std(u),std(vtkOriginalPointIds),vtkValidPointMask
1,0,1,0,0,0.707815,0.707531,0,0.000317992,401,0.707815,0.707531,0,0.000317992,401,0.707815,0.707531,0,0.000317992,401,0.707815,0.707531,0,0.000317992,401,0.707815,0.707531,0,0.000317992,401,0.707815,0.707531,0,0.000317992,401,0,0,0,0,0,1
1,1,1,1,0,0.707815,0.707531,0,0.0015175,401,0.707815,0.707531,0,0.0015175,401,0.707815,0.707531,0,0.0015175,401,0.707815,0.707531,0,0.0015175,401,0.707815,0.707531,0,0.0015175,401,0.707815,0.707531,0,0.0015175,401,0,0,0,0,0,1
1,2,1,2,0,0.707815,0.707531,0,0.00370083,401,0.707815,0.707531,0,0.00370083,401,0.707815,0.707531,0,0.00370083,401,0.707815,0.707531,0,0.00370083,401,0.707815,0.707531,0,0.00370083,401,0.707815,0.707531,0,0.00370083,401,0,0,0,0,0,1
1,3,1,3,0,0.707815,0.707531,0,0.00657887,401,0.707815,0.707531,0,0.00657887,401,0.707815,0.707531,0,0.00657887,401,0.707815,0.707531,0,0.00657887,401,0.707815,0.707531,0,0.00657887,401,0.707815,0.707531,0,0.00657887,401,0,0,0,0,0,1
1,4,1,4,0,0.707815,0.707531,0,0.00987126,401,0.707815,0.707531,0,0.00987126,401,0.707815,0.707531,0,0.00987126,401,0.707815,0.707531,0,0.00987126,401,0.707815,0.707531,0,0.00987126,401,0.707815,0.707531,0,0.00987126,401,0,0,0,0,0,1
1,5,1,5,0,0.707815,0.707531,0,0.0133231,401,0.707815,0.707531,0,0.0133231,401,0.707815,0.707531,0,0.0133231,401,0.707815,0.707531,0,0.0133231,401,0.707815,0.707531,0,0.0133231,401,0.707815,0.707531,0,0.0133231,401,0,0,0,0,0,1
1,6,1,6,0,0.707815,0.707531,0,0.0167125,401,0.707815,0.707531,0,0.0167125,401,0.707815,0.707531,0,0.0167125,401,0.707815,0.707531,0,0.0167125,401,0.707815,0.707531,0,0.0167125,401,0.707815,0.707531,0,0.0167125,401,0,0,0,0,0,1
1,7,1,7,0,0.707815,0.707531,0,0.0198559,401,0.707815,0.707531,0,0.0198559,401,0.707815,0.707531,0,0.0198559,401,0.707815,0.707531,0,0.0198559,401,0.707815,0.707531,0,0.0198559,401,0.707815,0.707531,0,0.0198559,401,0,0,0,0,0,1
1,8,1,8,0,0.707815,0.707531,0,0.0226112,401,0.707815,0.707531,0,0.0226112,401,0.707815,0.707531,0,0.0226112,401,0.707815,0.707531,0,0.0226112,401,0.707815,0.707531,0,0.0226112,401,0.707815,0.707531,0,0.0226112,401,0,0,0,0,0,1
1,9,1,9,0,0.707815,0.707531,0,0.0248764,401,0.707815,0.707531,0,0.0248764,401,0.707815,0.707531,0,0.0248764,401,0.707815,0.707531,0,0.0248764,401,0.707815,0.707531,0,0.0248764,401,0.707815,0.707531,0,0.0248764,401,0,0,0,0,0,1
1,10,1,10,0,0.707815,0.707531,0,0.0265874,401,0.707815,0.707531,0,0.0265874,401,0.707815,0.707531,0,0.0265874,401,0.707815,0.707531,0,0.0265874,401,0.707815,0.707531,0,0.0265874,401,0.707815,0.707531,0,0.0265874,401,0,0,0,0,0,1
1,11,1,11,0,0.707815,0.707531,0,0.0277143,401,0.707815,0.707531,0,0.0277143,401,0.707815,0.707531,0,0.0277143,401,0.707815,0.707531,0,0.0277143,401,0.707815,0.707531,0,0.0277143,401,0.707815,0.707531,0,0.0277143,401,0,0,0,0,0,1
1,12,1,12,0,0.707815,0.707531,0,0.0282562,401,0.707815,0.707531,0,0.0282562,401,0.707815,0.707531,0,0.0282562,401,0.707815,0.707531,0,0.0282562,401,0.707815,0.707531,0,0.0282562,401,0.707815,0.707531,0,0.0282562,401,0,0,0,0,0,1
1,13,1,13,0,0.707815,0.707531,0,0.0282363,401,0.707815,0.707531,0,0.0282363,401,0.707815,0.707531,0,0.0282363,401,0.707815,0.707531,0,0.0282363,401,0.707815,0.707531,0,0.0282363,401,0.707815,0.707531,0,0.0282363,401,0,0,0,0,0,1
1,14,1,14,0,0.707815,0.707531,0,0.0276964,401,0.707815,0.707531,0,0.0276964,401,0.707815,0.707531,0,0.0276964,401,0.707815,0.707531,0,0.0276964,401,0.707815,0.707531,0,0.0276964,401,0.707815,0.707531,0,0.0276964,401,0,0,0,0,0,1
1,15,1,15,0,0.707815,0.707531,0,0.0266926,401,0.707815,0.707531,0,0.0266926,401,0.707815,0.707531,0,0.0266926,401,0.707815,0.707531,0,0.0266926,401,0.707815,0.707531,0,0.0266926,401,0.707815,0.707531,0,0.0266926,401,0,0,0,0,0,1
1,16,1,16,0,0.707815,0.707531,0,0.02529,401,0.707815,0.707531,0,0.02529,401,0.707815,0.707531,0,0.02529,401,0.707815,0.707531,0,0.02529,401,0.707815,0.707531,0,0.02529,401,0.707815,0.707531,0,0.02529,401,0,0,0,0,0,1
1,17,1,17,0,0.707815,0.707531,0,0.0235587,401,0.707815,0.707531,0,0.0235587,401,0.707815,0.707531,0,0.0235587,401,0.707815,0.707531,0,0.0235587,401,0.707815,0.707531,0,0.0235587,401,0.707815,0.707531,0,0.0235587,401,0,0,0,0,0,1
1,18,1,18,0,0.707815,0.707531,0,0.0215705,401,0.707815,0.707531,0,0.0215705,401,0.707815,0.707531,0,0.0215705,401,0.707815,0.707531,0,0.0215705,401,0.707815,0.707531,0,0.0215705,401,0.707815,0.707531,0,0.0215705,401,0,0,0,0,0,1
