vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(X),avg(Y),avg(Z),avg(u),avg(vtkOriginalPointIds),max(X),max(Y),max(Z),max(u),max(vtkOriginalPointIds),med(X),med(Y),med(Z),med(u),med(vtkOriginalPointIds),min(X),min(Y),min(Z),min(u),min(vtkOriginalPointIds),q1(X),q1(Y),q1(Z),q1(u),q1(vtkOriginalPointIds),q3(X),q3(Y),q3(Z),q3(u),q3(vtkOriginalPointIds),std(X),std(Y),std(Z),std(u),std(vtkOriginalPointIds),vtkValidPointMask
1,0,1,0,0,0.291987,0.706219,0,7.41032e-10,402,0.291987,0.706219,0,7.41032e-10,402,0.291987,0.706219,0,7.41032e-10,402,0.291987,0.706219,0,7.41032e-10,402,0.291987,0.706219,0,7.41032e-10,402,0.291987,0.706219,0,7.41032e-10,402,0,0,0,0,0,1
1,1,1,1,0,0.291987,0.706219,0,5.12201e-09,402,0.291987,0.706219,0,5.12201e-09,402,0.291987,0.706219,0,5.12201e-09,402,0.291987,0.706219,0,5.12201e-09,402,0.291987,0.706219,0,5.12201e-09,402,0.291987,0.706219,0,5.12201e-09,402,0,0,0,0,0,1
1,2,1,2,0,0.291987,0.706219,0,1.99805e-08,402,0.291987,0.706219,0,1.99805e-08,402,0.291987,0.706219,0,1.99805e-08,402,0.291987,0.706219,0,1.99805e-08,402,0.291987,0.706219,0,1.99805e-08,402,0.291987,0.706219,0,1.99805e-08,402,0,0,0,0,0,1
1,3,1,3,0,0.291987,0.706219,0,5.99634e-08,402,0.291987,0.706219,0,5.99634e-08,402,0.291987,0.706219,0,5.99634e-08,402,0.291987,0.706219,0,5.99634e-08,402,0.291987,0.706219,0,5.99634e-08,402,0.291987,0.706219,0,5.99634e-08,402,0,0,0,0,0,1
1,4,1,4,0,0.291987,0.706219,0,1.54503e-07,402,0.291987,0.706219,0,1.54503e-07,402,0.291987,0.706219,0,1.54503e-07,402,0.291987,0.706219,0,1.54503e-07,402,0.291987,0.706219,0,1.54503e-07,402,0.291987,0.706219,0,1.54503e-07,402,0,0,0,0,0,1
1,5,1,5,0,0.291987,0.706219,0,3.58385e-07,402,0.291987,0.706219,0,3.58385e-07,402,0.291987,0.706219,0,3.58385e-07,402,0.291987,0.706219,0,3.58385e-07,402,0.291987,0.706219,0,3.58385e-07,402,0.291987,0.706219,0,3.58385e-07,402,0,0,0,0,0,1
1,6,1,6,0,0.291987,0.706219,0,7.67203e-07,402,0.291987,0.706219,0,7.67203e-07,402,0.291987,0.706219,0,7.67203e-07,402,0.291987,0.706219,0,7.67203e-07,402,0.291987,0.706219,0,7.67203e-07,402,0.291987,0.706219,0,7.67203e-07,402,0,0,0,0,0,1
1,7,1,7,0,0.291987,0.706219,0,1.5387e-06,402,0.291987,0.706219,0,1.5387e-06,402,0.291987,0.706219,0,1.5387e-06,402,0.291987,0.706219,0,1.5387e-06,402,0.291987,0.706219,0,1.5387e-06,402,0.291987,0.706219,0,1.5387e-06,402,0,0,0,0,0,1
1,8,1,8,0,0.291987,0.706219,0,2.92054e-06,402,0.291987,0.706219,0,2.92054e-06,402,0.291987,0.706219,0,2.92054e-06,402,0.291987,0.706219,0,2.92054e-06,402,0.291987,0.706219,0,2.92054e-06,402,0.291987,0.706219,0,2.92054e-06,402,0,0,0,0,0,1
1,9,1,9,0,0.291987,0.706219,0,5.28438e-06,402,0.291987,0.706219,0,5.28438e-06,402,0.291987,0.706219,0,5.28438e-06,402,0.291987,0.706219,0,5.28438e-06,402,0.291987,0.706219,0,5.28438e-06,402,0.291987,0.706219,0,5.28438e-06,402,0,0,0,0,0,1
